,hitparada,rok,mesic,pozice,album,interpret,interpret_hlavni,vydavatel
198471,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,3,Brahms: Kvintety op. 34 & 111,Pavel Haas Quartet & B. Giltburg & P. Nikl,Pavel Haas Quartet,Supraphon
198472,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,4,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198473,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,5,Portrait,Richard Novák,Richard Novák,Supraphon
198474,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,6,Janáček:Zápisník zmizelého-Dvořák:Biblické písně..,V.přibyl/l.márová/j.páleníček/m.máša,V.přibyl,Supraphon
198475,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,7,Český recitál,Vilém Přibyl,Vilém Přibyl,Radioservis
198476,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,8,Let There Be Cello,2cellos,2cellos,Sony Music
198477,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,9,"Novák: Klavírní koncert, Toman a lesní panna",Bartoš/sočr/hrůša,Bartoš,Supraphon
198478,CZ - ALBUMS CLASSICAL - TOP 10,2022,7,10,Varhanní a vokální skladby B. M. Černohorského,Různí,Různí,Supraphon
198519,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,1,Mysliveček: Houslové koncerty - komplet,Různí,Různí,Supraphon
198520,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,2,Brahms: Kvintety op. 34 & 111,Pavel Haas Quartet & B. Giltburg & P. Nikl,Pavel Haas Quartet,Supraphon
198521,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,3,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198522,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,4,Score,2cellos,2cellos,Sony Music
198523,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,5,My Music - My World - The Very Best Of,André Rieu,André Rieu,Universal Music
198524,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,6,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
198525,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,7,Let There Be Cello,2cellos,2cellos,Sony Music
198526,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,8,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
198527,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,9,"Mozart, W.A. Klavírní sonáty K. 333, 457, 570, Fan",Ivan Moravec,Ivan Moravec,Supraphon
198528,CZ - ALBUMS CLASSICAL - TOP 10,2022,8,10,Le jardin musical,Musica Antiqua Vídeň,Musica Antiqua Vídeň,Supraphon
198579,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,1,Michna: Česká mariánská muzika - Lilium mezi trním,H. Blažíková/collegium Marianum,H. Blažíková,Supraphon
198580,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,2,Kabeláč: Mysterium času,M. Sekera / Sočr / M. Ivanovič,M. Sekera,Supraphon
198581,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,3,Mysliveček: Houslové koncerty - komplet,Různí,Různí,Supraphon
198582,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,4,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198583,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,5,Brahms: Kvintety op. 34 & 111,Pavel Haas Quartet & B. Giltburg & P. Nikl,Pavel Haas Quartet,Supraphon
198584,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,6,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
198585,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,7,Má vlast,Čf/kubelík,Čf,Supraphon
198586,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,8,"Cesty / Janáček, Martinů, Schulhoff, Klein",Josef Špaček/tomáš Jamník,Josef Špaček,Supraphon
198587,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,9,Cachua Serranita,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198588,CZ - ALBUMS CLASSICAL - TOP 10,2022,9,10,"Martinů: Fresky, Paraboly, Rytiny",Sočr/netopil,Sočr,Supraphon
198779,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,1,"Mozart,Salieri: Molieri (Mozart and Salieri Arias)",Adam Plachetka/czech Ensemble Baroque Orchestra,Adam Plachetka,Pentatone
198780,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,2,Live 1939 - Smetana - Má vlast,Talich Václav/česká Filharmonie,Talich Václav,Supraphon
198781,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,3,Musici da camera. Hudba Prahy 18. století,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198782,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,4,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
198783,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,5,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198784,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,6,Nejkrásnější vánoční koledy,Bambini Di Praga/bohumil Kulínský Ml.,Bambini Di Praga,Supraphon
198785,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,7,Rorate coeli / Advent a Vánoce v barokní Praze,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198786,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,8,"Tůma:Te Deum, Sinfonia ex C, Missa Veni Pater ...",Czech Ensemble Baroque,Czech Ensemble Baroque,Supraphon
198787,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,9,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
198788,CZ - ALBUMS CLASSICAL - TOP 10,2023,1,10,Perličky české klasické hudby,Čf/neumann,Čf,Supraphon
198829,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,1,"Mozart,Salieri: Molieri (Mozart and Salieri Arias)",Adam Plachetka/czech Ensemble Baroque Orchestra,Adam Plachetka,Pentatone
198830,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,2,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
198831,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,3,Cachua Serranita,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
198832,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,4,Mysliveček: Houslové koncerty - komplet,Různí,Různí,Supraphon
198833,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,5,Kabeláč: Mysterium času,Sočr/ivanovič,Sočr,Supraphon
198834,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,6,Michna: Česká mariánská muzika - Lilium mezi trním,H. Blažíková/collegium Marianum,H. Blažíková,Supraphon
198835,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,7,50 Great Tracks,Luciano Pavarotti,Luciano Pavarotti,Universal Music
198836,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,8,Antonín Dvořák - Rusalka   DVD,Orchestr Nd/chalabala,Orchestr Nd,Supraphon
198837,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,9,Gipsy Fire,Pavel Šporcl,Pavel Šporcl,Supraphon
198838,CZ - ALBUMS CLASSICAL - TOP 10,2023,2,10,Vivaldi: Čtvero ročních dob,V.hudeček/virtuosi Di Praga/p.kogan,V.hudeček,Supraphon
198889,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,1,Prague Classics / Musical Souvenir from Prague,Různí,Různí,Supraphon
198890,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,2,"Kabeláč:Osm preludií pro klavír, Cizokrajné motivy",Jan Bartoš,Jan Bartoš,Supraphon
198891,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,3,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
198892,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,4,"Mysliveček: Hobojové kvintety, Smyčcové kvartety",Doležalovo Kvarteto/m.hrabánková,Doležalovo Kvarteto,Supraphon
198893,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,5,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
198894,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,6,Mysliveček: Houslové koncerty - komplet,Různí,Různí,Supraphon
198895,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,7,Má vlast,Čf/kubelík,Čf,Supraphon
198896,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,8,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
198897,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,9,Best of Classics,Různí,Různí,Supraphon
198898,CZ - ALBUMS CLASSICAL - TOP 10,2023,3,10,Mysliveček: Sinfonie,Pražský Komorní Orchestr,Pražský Komorní Orchestr,Supraphon
198939,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,1,Rachmaninov: Klavírní koncerty (komplet),Symfonický Orchestr Hl.m. Prahy Fok/l.vondráček,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
198940,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,2,Ysaye: Šest sonát pro sólové housle,Daniel Matejča,Daniel Matejča,Supraphon
198941,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,3,Happy Days,André Rieu,André Rieu,Universal Music
198942,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,4,Baroque Music in Prague,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
198943,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,5,"Dvořák-Novosvětská, Smetana - Vltava",Čf/neumann,Čf,Supraphon
198944,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,6,Mahler: Symphony No. 2,Čf/semjon Byčkov,Čf,Pentatone
198945,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,7,Best Of Smetana,Různí,Různí,Supraphon
198946,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,8,Kabeláč: Mysterium času,M. Sekera / Sočr / M. Ivanovič,M. Sekera,Supraphon
198947,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,9,P.Eben / J. A.Komenský: Labyrint světa a ráj srdce,Petr Eben,Petr Eben,Fermáta
198948,CZ - ALBUMS CLASSICAL - TOP 10,2023,4,10,České zpěvy vánoční,Musica Bohemica,Musica Bohemica,Supraphon
198989,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,1,Ysaye: Šest sonát pro sólové housle,Daniel Matejča,Daniel Matejča,Supraphon
198990,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,2,Baroque Music in Prague,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
198991,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,3,Rachmaninov: Klavírní koncerty (komplet),Symfonický Orchestr Hl.m. Prahy Fok/l.vondráček,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
198992,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,4,Mahler: Symphony No. 2,Čf/semjon Byčkov,Čf,Pentatone
198993,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,5,Jistebnický kancionál,Tiburtina Ensemble,Tiburtina Ensemble,Supraphon
198994,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,6,Kabeláč: Mysterium času,M. Sekera / Sočr / M. Ivanovič,M. Sekera,Supraphon
198995,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,7,"Mozart,Salieri: Molieri (Mozart and Salieri Arias)",Adam Plachetka/czech Ensemble Baroque Orchestra,Adam Plachetka,Pentatone
198996,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,8,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
198997,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,9,Brahms: Kvintety op. 34 & 111,Pavel Haas Quartet & B. Giltburg & P. Nikl,Pavel Haas Quartet,Supraphon
198998,CZ - ALBUMS CLASSICAL - TOP 10,2023,5,10,Best of Classics,Různí,Různí,Supraphon
199049,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,1,Best Of Dvořák,Různí,Různí,Supraphon
199050,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,2,Rachmaninov: Klavírní koncerty (komplet),Symfonický Orchestr Hl.m. Prahy Fok/l.vondráček,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
199051,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,3,Dvořák v Americe,Různí,Různí,Supraphon
199052,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,4,Dvořák: Slovanské tance,Ústřední Hudba Armády České Republiky/v. Válek,Ústřední Hudba Armády České Republiky,Musicvars
199053,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,5,Baroque Music in Prague,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
199054,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,6,Ysaye: Šest sonát pro sólové housle,Daniel Matejča,Daniel Matejča,Supraphon
199055,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,7,Michna: Česká mariánská muzika - Lilium mezi trním,Hana Blažíková / Collegium Marianum,Hana Blažíková,Supraphon
199056,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,8,"Mozart,Salieri: Molieri (Mozart and Salieri Arias)",Adam Plachetka/czech Ensemble Baroque Orchestra,Adam Plachetka,Pentatone
199057,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,9,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
199058,CZ - ALBUMS CLASSICAL - TOP 10,2023,6,10,Best Of Smetana,Různí,Různí,Supraphon
199099,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,1,"Dvořák: Te Deum, Mše D dur, Biblické písně",Symfonický Orchestr Hl.m. Prahy Fok/v. Smetáček,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
199100,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,2,Il Boemo,Různí,Různí,Warner Music
199101,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,3,Baroque Music in Prague,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
199102,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,4,Kabeláč: Mysterium času,Sočr/ivanovič,Sočr,Supraphon
199103,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,5,Prague Classics / Musical Souvenir from Prague,Různí,Různí,Supraphon
199104,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,6,Arias,Adam Plachetka,Adam Plachetka,Radioservis
199105,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,7,Týden nové tvorby 1970,Bohumír Rabas,Bohumír Rabas,Supraphon
199106,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,8,"Dvořák-Novosvětská, Smetana - Vltava",Čf/neumann,Čf,Supraphon
199107,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,9,Ysaye: Šest sonát pro sólové housle,Daniel Matejča,Daniel Matejča,Supraphon
199108,CZ - ALBUMS CLASSICAL - TOP 10,2023,7,10,"Orchestrální dílo I/L.Janáček (Lašské tance,Suita)",Filharmonie Brno/jílek,Filharmonie Brno,Supraphon
199159,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,1,The Many Passions of Leoš Janáček,Různí,Různí,Supraphon
199160,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,2,"Dvořák: Te Deum, Mše D dur, Biblické písně",Symfonický Orchestr Hl.m. Prahy Fok/v. Smetáček,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
199161,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,3,Il Boemo,Různí,Různí,Warner Music
199162,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,4,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
199163,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,5,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
199164,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,6,"Kabeláč:Osm preludií pro klavír, Cizokrajné motivy",Jan Bartoš,Jan Bartoš,Supraphon
199165,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,7,Baroque Music in Prague,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
199166,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,8,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
199167,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,9,České a moravské barokní varhany III,Jiří Reinberger,Jiří Reinberger,Supraphon
199168,CZ - ALBUMS CLASSICAL - TOP 10,2023,8,10,Brahms: Kvintety op. 34 & 111,Pavel Haas Quartet & B. Giltburg & P. Nikl,Pavel Haas Quartet,Supraphon
199209,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,1,Martinů: Koncert pro housle a klavír,"Josef Špaček, Miroslav Sekera, Sočr","Josef Špaček, Miroslav Sekera, Sočr",Supraphon
199210,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,2,Dvořák: Klavírní tria - komplet,Giltburg/jarůšková/jarůšek,Giltburg,Supraphon
199211,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,3,Il Boemo,Různí,Různí,Warner Music
199212,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,4,Rachmaninov: Klavírní koncerty (komplet),Symfonický Orchestr Hl.m. Prahy Fok/l.vondráček,Symfonický Orchestr Hl.m. Prahy Fok,Supraphon
199213,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,5,Michna: Loutna česká,Musica Bohemica,Musica Bohemica,Supraphon
199214,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,6,Live 1939 - Smetana - Má vlast,Talich Václav/česká Filharmonie,Talich Václav,Supraphon
199215,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,7,Má vlast,Čf/kubelík,Čf,Supraphon
199216,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,8,"Kabeláč:Osm preludií pro klavír, Cizokrajné motivy",Jan Bartoš,Jan Bartoš,Supraphon
199217,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,9,Best Of Czech Classics,Česká Filharmonie,Česká Filharmonie,Supraphon
199218,CZ - ALBUMS CLASSICAL - TOP 10,2023,9,10,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
